"time","ta","tb","tcl","tcr","tsk","scr","ssk","m","hfcs","eres","cres","dry","esk"
0,20,36.4834638616005,28.5208924067224,36.806603568013,33.5752065038877,13.2613881457726,-27.8458047519695,58.2,39.0813899999999,4.7165018542275,1.14072,66.8271947519694,8.26685148743773
1,20,36.3300779016639,28.4440041954865,36.8119422284621,33.474879914223,10.192296143918,-32.3254315294703,58.2,42.1504820018545,4.7165018542275,1.14072,66.2090620438871,8.20720986290539
2,20,36.332896802958,28.3821809536071,36.8159826008933,33.3814468801136,7.74741111601777,-29.3240874862596,58.2,44.5953670297547,4.7165018542275,1.14072,65.7122446531089,8.15192646210934
3,20,36.3295719038457,28.3245979076952,36.8190495553552,33.2944716853197,5.8930628848068,-26.9518753613798,58.2,46.4497152609657,4.7165018542275,1.14072,65.2496641602361,8.10068875580738
4,20,36.3225515925557,28.2709881284889,36.8213750679786,33.2132729468761,4.47164529235277,-25.0486985711725,58.2,47.8711328534197,4.7165018542275,1.14072,64.8191426687849,8.05304882336229
5,20,36.313140881177,28.2209329948325,36.8231297111194,33.1371506018993,3.3735171316848,-23.5010775130624,58.2,48.9692610140877,4.7165018542275,1.14072,64.4172897037878,8.00855754347713
6,20,36.3021058400631,28.1740020862797,36.8244413360045,33.065466727933,2.5200105305891,-22.2264159362876,58.2,49.8227676151834,4.7165018542275,1.14072,64.0406260079939,7.96681061897079
7,20,36.2899298477935,28.1298030439122,36.8254070742903,32.9976682224667,1.8534433244216,-21.1634588172442,58.2,50.4893348213509,4.7165018542275,1.14072,63.6859830196243,7.92746010510928
8,20,36.2769354276197,28.0879956025122,36.826101462714,32.9332863900848,1.33084417080064,-20.2661405811628,58.2,51.0119339749719,4.7165018542275,1.14072,63.3506144510253,7.89021259655859
9,20,36.2633474309954,28.0482913818603,36.826582146592,32.8719280691684,0.919814756511045,-19.4994428618069,58.2,51.4229633892615,4.7165018542275,1.14072,63.0321936545098,7.8548227793682
10,20,36.249328146037,28.0104484531727,36.8268939893727,32.8132645003373,0.595699776382176,-18.8365136486323,58.2,51.7470783693903,4.7165018542275,1.14072,62.7287692386544,7.82108596237106
11,20,36.2349979507926,27.974264504606,36.8270720912217,32.7570204964604,0.339596415606351,-18.2566138545435,58.2,52.0031817301662,4.7165018542275,1.14072,62.4387096223385,7.78883102979172
12,20,36.2204480677825,27.9395701855301,36.8271440387924,32.7029648631468,0.136923648907199,-17.7436257062214,58.2,52.2058544968653,4.7165018542275,1.14072,62.160649173295,7.75791431236295
13,20,36.205748781142,27.9062232162394,36.8271316010326,32.6509023080378,-0.023623622845534,-17.284953149002,58.2,52.366401768618,4.7165018542275,1.14072,61.8934406052571,7.72821446793747
14,20,36.1909549320966,27.8741034114376,36.8270520189186,32.6006667766895,-0.150849376238568,-16.8707017407685,58.2,52.4936275220111,4.7165018542275,1.14072,61.6361147948421,7.69962829780273
15,20,36.1761097180808,27.8431085802333,36.8269189934934,32.5521160408376,-0.251636599774308,-16.4930612484646,58.2,52.5944147455468,4.7165018542275,1.14072,61.3878476962087,7.67206736900675
16,20,36.1612473972108,27.8131511960657,36.8267434473405,32.5051273383486,-0.331385423289973,-16.1458372808718,58.2,52.6741635690625,4.7165018542275,1.14072,61.1479334809276,7.64545530505167
17,20,36.1463952635334,27.7841557134236,36.8265341144323,32.4595938744657,-0.39434634755051,-15.8240937139863,58.2,52.737124493323,4.7165018542275,1.14072,60.9157629022577,7.61972561898784
18,20,36.1315751220049,27.7560564144144,36.8262979990424,32.4154220180225,-0.443875187145004,-15.5238782222162,58.2,52.7866533329175,4.7165018542275,1.14072,60.6908059361458,7.59481998113746
19,20,36.1168044108711,27.7287956829492,36.8260407341679,32.3725290534575,-0.482629095363784,-15.2420106119136,58.2,52.8254072411363,4.7165018542275,1.14072,60.4725978719124,7.57068683253251
20,20,36.1020970693383,27.7023226209717,36.8257668624365,32.330841375065,-0.512717937504995,-14.9759189103625,58.2,52.8554960832775,4.7165018542275,1.14072,60.2607281611074,7.54728027224718
21,20,36.0874642171412,27.6765919368752,36.8254800569595,32.2902930322113,-0.535821625509548,-14.723511961479,58.2,52.8785997712821,4.7165018542275,1.14072,60.0548314605139,7.52455916136001
22,20,36.0729146924638,27.6515630499568,36.8251832954823,32.2508245528641,-0.553281374270007,-14.4830800575051,58.2,52.8960595200425,4.7165018542275,1.14072,59.8545804161876,7.50248639824452
23,20,36.0584554813836,27.627199366199,36.8248789980873,32.2123819879305,-0.566170891897421,-14.2532171885107,58.2,52.9089490376699,4.7165018542275,1.14072,59.6596798279362,7.48102832951819
24,20,36.0440920630465,27.603467689989,36.8245691363688,32.1749161310504,-0.575352071531604,-14.0327600211359,58.2,52.9181302173041,4.7165018542275,1.14072,59.4698619089218,7.46015426863047
25,20,36.0298286885885,27.5803377438584,36.8242553202128,32.1383818781265,-0.581518672313393,-13.8207398659259,58.2,52.9242968180859,4.7165018542275,1.14072,59.2848824153813,7.43983610010271
26,20,36.0156686074586,27.5577817742554,36.8239388669498,32.1027376984742,-0.585230664094517,-13.6163447595395,58.2,52.928008809867,4.7165018542275,1.14072,59.1045174693038,7.42004795215795
